::1 - - [31/Mar/2023:18:09:57 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2187
::1 - - [31/Mar/2023:18:09:57 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:18:10:41 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:10:41 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:10:41 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2187
::1 - - [31/Mar/2023:18:10:59 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:10:59 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2187
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /css/tree.css HTTP/1.1" 200 1037
::1 - - [31/Mar/2023:18:11:04 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:18:23:46 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:23:47 +0100] "GET /javascript/navbar.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:23:47 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:23:47 +0100] "GET /css/nav.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:23:47 +0100] "GET /css/vr.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:23:47 +0100] "GET /css/sidebar.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:23:47 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2318
::1 - - [31/Mar/2023:18:24:09 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:24:09 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:25:06 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:25:06 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:25:06 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2314
::1 - - [31/Mar/2023:18:25:34 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:25:34 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2316
::1 - - [31/Mar/2023:18:25:38 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:25:38 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:25:39 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:25:39 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:25:51 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:25:51 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2316
::1 - - [31/Mar/2023:18:25:54 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:25:54 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:26:08 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:26:08 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2316
::1 - - [31/Mar/2023:18:26:53 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1916
::1 - - [31/Mar/2023:18:26:53 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:26:53 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 2218
::1 - - [31/Mar/2023:18:33:58 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1953
::1 - - [31/Mar/2023:18:33:58 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:33:58 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5190
::1 - - [31/Mar/2023:18:35:00 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1950
::1 - - [31/Mar/2023:18:35:00 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:35:04 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1950
::1 - - [31/Mar/2023:18:35:06 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1950
::1 - - [31/Mar/2023:18:35:06 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:18:35:06 +0100] "GET /css/tree.css HTTP/1.1" 200 1037
::1 - - [31/Mar/2023:18:35:06 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:18:35:06 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:18:35:06 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:18:35:06 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5190
::1 - - [31/Mar/2023:18:35:07 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:18:36:24 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1950
::1 - - [31/Mar/2023:18:36:25 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:36:29 +0100] "GET /home.php HTTP/1.1" 200 1975
::1 - - [31/Mar/2023:18:36:29 +0100] "GET /css/home.css HTTP/1.1" 200 414
::1 - - [31/Mar/2023:18:36:29 +0100] "GET /img/tree-banner.png HTTP/1.1" 200 53735
::1 - - [31/Mar/2023:18:36:29 +0100] "GET /img/math-banner.png HTTP/1.1" 200 116000
::1 - - [31/Mar/2023:18:36:29 +0100] "GET /img/vr-banner.png HTTP/1.1" 200 68950
::1 - - [31/Mar/2023:18:36:31 +0100] "GET /VR.php HTTP/1.1" 200 7995
::1 - - [31/Mar/2023:18:36:37 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1950
::1 - - [31/Mar/2023:18:37:15 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1977
::1 - - [31/Mar/2023:18:37:16 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:37:22 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1977
::1 - - [31/Mar/2023:18:37:22 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:18:37:22 +0100] "GET /css/tree.css HTTP/1.1" 200 1037
::1 - - [31/Mar/2023:18:37:22 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:18:37:22 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:18:37:22 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:18:37:22 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5190
::1 - - [31/Mar/2023:18:37:23 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:18:37:47 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:37:47 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:38:10 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:38:13 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:38:13 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:18:38:13 +0100] "GET /css/tree.css HTTP/1.1" 200 1037
::1 - - [31/Mar/2023:18:38:13 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:18:38:13 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:18:38:13 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:18:38:13 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5190
::1 - - [31/Mar/2023:18:38:14 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:18:41:45 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:41:45 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:41:45 +0100] "GET /css/tree.css HTTP/1.1" 200 524
::1 - - [31/Mar/2023:18:42:36 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:42:36 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:42:36 +0100] "GET /css/tree.css HTTP/1.1" 200 555
::1 - - [31/Mar/2023:18:43:09 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:43:09 +0100] "GET /css/tree.css HTTP/1.1" 200 553
::1 - - [31/Mar/2023:18:44:28 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:44:28 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:44:28 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1981
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /css/tree.css HTTP/1.1" 200 553
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5190
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:18:44:45 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:18:50:21 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 5165
::1 - - [31/Mar/2023:18:50:21 +0100] "GET /css/tree.css HTTP/1.1" 200 524
::1 - - [31/Mar/2023:18:51:58 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1516
::1 - - [31/Mar/2023:18:51:58 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:51:59 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5191
::1 - - [31/Mar/2023:18:58:23 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1516
::1 - - [31/Mar/2023:18:58:23 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:18:58:23 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5199
::1 - - [31/Mar/2023:19:03:05 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1516
::1 - - [31/Mar/2023:19:03:05 +0100] "GET /javascript/navbar.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:03:05 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:03:05 +0100] "GET /css/vr.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:03:05 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5190
::1 - - [31/Mar/2023:19:03:05 +0100] "GET /css/nav.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:03:05 +0100] "GET /css/sidebar.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:03:08 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1516
::1 - - [31/Mar/2023:19:03:10 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1516
::1 - - [31/Mar/2023:19:03:10 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:19:03:10 +0100] "GET /css/tree.css HTTP/1.1" 200 524
::1 - - [31/Mar/2023:19:03:10 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
